CustomerID,Date,Amount
C0001,2025-04-03,9500.0
C0001,2025-05-05,2700.0
C0001,2025-06-08,7200.0
C0001,2025-08-31,13400.0
C0001,2025-10-08,6000.0
C0002,2025-01-04,8700.0
C0002,2025-03-07,1500.0
C0002,2025-04-12,1200.0
C0002,2025-05-24,17100.0
C0003,2025-01-05,10400.0
C0003,2025-03-01,13400.0
C0003,2025-03-09,16900.0
C0003,2025-06-22,9700.0
C0003,2025-10-09,18700.0
C0003,2025-10-11,6000.0
C0004,2025-01-15,16300.0
C0004,2025-01-18,12300.0
C0004,2025-03-16,12100.0
C0004,2025-04-01,1100.0
C0004,2025-05-28,8300.0
C0004,2025-07-19,10400.0
C0004,2025-07-19,12600.0
C0004,2025-08-09,6200.0
C0004,2025-08-14,13500.0
C0004,2025-10-19,8500.0
C0005,2025-05-18,1300.0
C0005,2025-06-13,11200.0
C0005,2025-06-21,15300.0
C0005,2025-09-04,17700.0
C0005,2025-10-22,15200.0
C0006,2025-01-10,1000.0
C0006,2025-03-23,18500.0
C0006,2025-04-05,8300.0
C0006,2025-05-03,16800.0
C0006,2025-05-31,2000.0
C0006,2025-06-16,10200.0
C0006,2025-08-31,11900.0
C0006,2025-09-12,8500.0
C0006,2025-09-14,4200.0
C0007,2025-01-10,16900.0
C0007,2025-05-16,5400.0
C0007,2025-06-01,14500.0
C0007,2025-08-06,14000.0
C0007,2025-09-23,2000.0
C0008,2025-03-18,14500.0
C0008,2025-04-21,16500.0
C0008,2025-05-13,5200.0
C0008,2025-06-05,15000.0
C0008,2025-06-10,15000.0
C0008,2025-06-22,18500.0
C0008,2025-08-20,13100.0
C0008,2025-09-04,11400.0
C0009,2025-01-20,9000.0
C0009,2025-05-22,1800.0
C0009,2025-05-28,9400.0
C0009,2025-07-24,11900.0
C0010,2025-01-05,2600.0
C0010,2025-04-17,6600.0
C0010,2025-05-24,6600.0
C0010,2025-08-20,17200.0
C0010,2025-09-15,7300.0
C0010,2025-10-09,14800.0
C0010,2025-10-20,7900.0
C0011,2025-05-30,17300.0
C0011,2025-10-19,9700.0
C0012,2025-04-05,5200.0
C0012,2025-05-18,12400.0
C0012,2025-08-08,9900.0
C0012,2025-09-07,3100.0
C0012,2025-10-03,8900.0
C0012,2025-10-16,3000.0
C0013,2025-02-22,9500.0
C0013,2025-03-27,14500.0
C0013,2025-04-13,6800.0
C0013,2025-10-20,17300.0
C0014,2025-02-16,4900.0
C0014,2025-02-24,5200.0
C0014,2025-03-14,15200.0
C0014,2025-05-18,8700.0
C0014,2025-07-10,3900.0
C0014,2025-08-16,2100.0
C0014,2025-10-06,3500.0
C0015,2025-04-25,11200.0
C0015,2025-04-26,2900.0
C0015,2025-09-04,18800.0
C0015,2025-09-13,17700.0
C0016,2025-01-14,16500.0
C0016,2025-02-23,16300.0
C0016,2025-03-06,13500.0
C0016,2025-05-23,3800.0
C0016,2025-06-04,10700.0
C0016,2025-09-19,17600.0
C0016,2025-10-24,6800.0
C0017,2025-02-19,5600.0
C0017,2025-03-08,7500.0
C0017,2025-05-19,5500.0
C0017,2025-09-14,13500.0
C0017,2025-10-25,6500.0
C0018,2025-01-28,9600.0
C0018,2025-02-01,15400.0
C0018,2025-05-09,1400.0
C0019,2025-06-07,15900.0
C0019,2025-06-17,11700.0
C0019,2025-07-14,16500.0
C0019,2025-07-21,4500.0
C0019,2025-08-31,10000.0
C0019,2025-10-23,4900.0
C0019,2025-10-29,9100.0
C0020,2025-05-01,15800.0
C0020,2025-08-21,17300.0
C0021,2025-03-19,7800.0
C0021,2025-05-31,3100.0
C0021,2025-07-21,13600.0
C0021,2025-07-29,15600.0
C0021,2025-08-17,12600.0
C0022,2025-03-04,3500.0
C0022,2025-04-08,13100.0
C0022,2025-05-23,17100.0
C0022,2025-07-06,16600.0
C0022,2025-07-09,19900.0
C0022,2025-07-21,9100.0
C0023,2025-02-18,4400.0
C0023,2025-03-14,7100.0
C0023,2025-09-11,8200.0
C0023,2025-09-23,5000.0
C0023,2025-10-29,5300.0
C0024,2025-04-29,14900.0
C0024,2025-06-14,2500.0
C0024,2025-06-29,10000.0
C0024,2025-07-11,8300.0
C0024,2025-08-07,11300.0
C0024,2025-10-18,6300.0
C0024,2025-10-19,15200.0
C0025,2025-03-19,15100.0
C0025,2025-04-14,19900.0
C0025,2025-04-18,14700.0
C0025,2025-05-30,2200.0
C0025,2025-06-07,18900.0
C0025,2025-07-23,19800.0
C0025,2025-08-15,7800.0
C0025,2025-10-26,9400.0
C0026,2025-01-18,5600.0
C0026,2025-02-10,11000.0
C0026,2025-03-30,8600.0
C0026,2025-05-05,10900.0
C0026,2025-08-12,2500.0
C0027,2025-01-09,1400.0
C0027,2025-04-09,1800.0
C0027,2025-06-08,18200.0
C0027,2025-07-27,10000.0
C0027,2025-08-29,17200.0
C0027,2025-09-04,15400.0
